GRID_API_READY
GRID_WS_OK
GRID_MARKET_UPDATE bid=80555.67 ask=80567.06 spread=11.389999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.06 spread=11.389999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.32 spread=7.650000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.32 spread=7.650000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.32 spread=7.650000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.31 spread=7.639999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.31 spread=7.639999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.31 spread=7.639999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.31 spread=7.639999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.31 spread=7.639999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80563.31 spread=7.639999999999418 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80563.31 spread=9.309999999997672 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80563.31 spread=9.309999999997672 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80563.31 spread=9.309999999997672 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80563.31 spread=9.309999999997672 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80563.31 spread=9.30000000000291 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80563.31 spread=9.30000000000291 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80563.31 spread=9.30000000000291 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80563.31 spread=9.30000000000291 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80563.31 spread=9.30000000000291 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.51 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.51 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.51 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
